MODE,TTME,INVC,INVT,GC,CHAIR,HINC,PSIZE,AASC,TASC,BASC,CASC,HINCA,PSIZEA        
0,69,59,100,70,0,35,1,1,0,0,0,35,1      
0,34,31,372,71,0,35,1,0,1,0,0,0,0       
0,35,25,417,70,0,35,1,0,0,1,0,0,0       
1,0,10,180,30,0,35,1,0,0,0,1,0,0        
0,64,58,68,68,0,30,2,1,0,0,0,30,2       
0,44,31,354,84,0,30,2,0,1,0,0,0,0       
0,53,25,399,85,0,30,2,0,0,1,0,0,0       
1,0,11,255,50,0,30,2,0,0,0,1,0,0        
0,69,115,125,129,0,40,1,1,0,0,0,40,1    
0,34,98,892,195,0,40,1,0,1,0,0,0,0      
0,35,53,882,149,0,40,1,0,0,1,0,0,0      
1,0,23,720,101,0,40,1,0,0,0,1,0,0       
0,64,49,68,59,0,70,3,1,0,0,0,70,3       
0,44,26,354,79,0,70,3,0,1,0,0,0,0       
0,53,21,399,81,0,70,3,0,0,1,0,0,0       
1,0,5,180,32,0,70,3,0,0,0,1,0,0         
0,64,60,144,82,0,45,2,1,0,0,0,45,2      
0,44,32,404,93,0,45,2,0,1,0,0,0,0       
0,53,26,449,94,0,45,2,0,0,1,0,0,0       
1,0,8,600,99,0,45,2,0,0,0,1,0,0         
0,69,59,100,70,0,20,1,1,0,0,0,20,1      
1,40,20,345,57,0,20,1,0,1,0,0,0,0       
0,35,13,417,58,0,20,1,0,0,1,0,0,0       
0,0,12,284,43,0,20,1,0,0,0,1,0,0        
1,45,148,115,160,1,45,1,1,0,0,0,45,1    
0,34,111,945,213,1,45,1,0,1,0,0,0,0     
0,35,66,935,167,1,45,1,0,0,1,0,0,0      
0,0,36,821,125,1,45,1,0,0,0,1,0,0       
0,69,121,152,137,0,12,1,1,0,0,0,12,1    
0,34,52,889,149,0,12,1,0,1,0,0,0,0      
0,35,50,879,146,0,12,1,0,0,1,0,0,0      
1,0,50,780,135,0,12,1,0,0,0,1,0,0       
0,69,59,100,70,0,40,1,1,0,0,0,40,1      
0,34,31,372,71,0,40,1,0,1,0,0,0,0       
0,35,25,417,70,0,40,1,0,0,1,0,0,0       
1,0,17,210,40,0,40,1,0,0,0,1,0,0        
0,69,58,68,65,0,70,2,1,0,0,0,70,2       
0,34,31,357,69,0,70,2,0,1,0,0,0,0       
0,35,25,402,68,0,70,2,0,0,1,0,0,0       
1,0,7,210,30,0,70,2,0,0,0,1,0,0         
0,64,58,68,68,0,15,2,1,0,0,0,15,2       
0,44,16,357,70,0,15,2,0,1,0,0,0,0       
0,53,13,402,73,0,15,2,0,0,1,0,0,0       
1,0,4,210,36,0,15,2,0,0,0,1,0,0         
0,64,62,108,79,0,35,2,1,0,0,0,35,2      
0,44,34,370,90,0,35,2,0,1,0,0,0,0       
0,53,28,415,91,0,35,2,0,0,1,0,0,0       
1,0,6,250,44,0,35,2,0,0,0,1,0,0         
0,64,45,114,63,0,50,4,1,0,0,0,50,4      
0,44,24,378,81,0,50,4,0,1,0,0,0,0       
0,53,19,423,83,0,50,4,0,0,1,0,0,0       
1,0,5,240,41,0,50,4,0,0,0,1,0,0         
0,64,58,94,72,0,40,1,1,0,0,0,40,1       
0,44,31,360,85,0,40,1,0,1,0,0,0,0       
0,53,25,405,86,0,40,1,0,0,1,0,0,0       
1,0,15,285,58,0,40,1,0,0,0,1,0,0        
0,64,83,169,109,0,26,4,1,0,0,0,26,4     
0,44,70,948,214,0,26,4,0,1,0,0,0,0      
0,53,47,938,189,0,26,4,0,0,1,0,0,0      
1,0,17,1200,199,0,26,4,0,0,0,1,0,0      
0,69,60,127,73,0,26,1,1,0,0,0,26,1      
1,20,19,325,55,0,26,1,0,1,0,0,0,0       
0,35,25,435,72,0,26,1,0,0,1,0,0,0       
0,0,14,350,52,0,26,1,0,0,0,1,0,0        
0,69,61,74,69,0,26,1,1,0,0,0,26,1       
1,15,38,255,66,0,26,1,0,1,0,0,0,0       
0,35,26,389,68,0,26,1,0,0,1,0,0,0       
0,0,13,315,47,0,26,1,0,0,0,1,0,0        
0,69,67,86,76,0,6,1,1,0,0,0,6,1         
1,20,21,300,54,0,6,1,0,1,0,0,0,0        
0,35,19,399,63,0,6,1,0,0,1,0,0,0        
0,0,17,327,53,0,6,1,0,0,0,1,0,0         
0,69,59,148,75,0,20,1,1,0,0,0,20,1      
1,45,18,305,51,0,20,1,0,1,0,0,0,0       
0,35,14,456,63,0,20,1,0,0,1,0,0,0       
0,0,16,427,62,0,20,1,0,0,0,1,0,0        
0,64,58,93,72,0,72,2,1,0,0,0,72,2       
1,10,28,305,75,0,72,2,0,1,0,0,0,0       
0,53,25,346,78,0,72,2,0,0,1,0,0,0       
0,0,9,316,57,0,72,2,0,0,0,1,0,0         
0,69,61,73,69,0,6,1,1,0,0,0,6,1         
1,20,21,305,54,0,6,1,0,1,0,0,0,0        
0,35,15,395,58,0,6,1,0,0,1,0,0,0        
0,0,13,314,47,0,6,1,0,0,0,1,0,0         
0,64,62,235,98,0,10,2,1,0,0,0,10,2      
1,45,45,465,116,0,10,2,0,1,0,0,0,0      
0,53,17,623,111,0,10,2,0,0,1,0,0,0      
0,0,13,559,98,0,10,2,0,0,0,1,0,0        
1,90,142,105,153,1,50,1,1,0,0,0,50,1    
0,34,71,596,136,1,50,1,0,1,0,0,0,0      
0,35,32,590,96,1,50,1,0,0,1,0,0,0       
0,0,33,577,96,1,50,1,0,0,0,1,0,0        
1,50,120,110,132,1,50,1,1,0,0,0,50,1    
0,34,70,596,135,1,50,1,0,1,0,0,0,0      
0,35,31,590,95,1,50,1,0,0,1,0,0,0       
0,0,33,577,96,1,50,1,0,0,0,1,0,0        
1,15,85,65,92,1,18,2,1,0,0,0,18,2       
0,34,15,361,55,1,18,2,0,1,0,0,0,0       
0,35,12,406,56,1,18,2,0,0,1,0,0,0       
0,0,9,296,41,1,18,2,0,0,0,1,0,0         
1,30,85,140,106,1,60,1,1,0,0,0,60,1     
0,44,90,928,231,1,60,1,0,1,0,0,0,0      
0,53,45,918,185,1,60,1,0,0,1,0,0,0      
0,0,86,902,223,1,60,1,0,0,0,1,0,0       
1,80,75,110,87,1,45,1,1,0,0,0,45,1      
0,34,70,638,140,1,45,1,0,1,0,0,0,0      
0,35,31,632,100,1,45,1,0,0,1,0,0,0      
0,0,39,581,102,1,45,1,0,0,0,1,0,0       
1,45,85,140,106,1,18,2,1,0,0,0,18,2     
0,44,39,664,139,1,18,2,0,1,0,0,0,0      
0,53,35,658,135,1,18,2,0,0,1,0,0,0      
0,0,19,592,109,1,18,2,0,0,0,1,0,0       
0,64,74,179,101,0,8,2,1,0,0,0,8,2       
1,60,43,320,91,0,8,2,0,1,0,0,0,0        
0,53,21,345,74,0,8,2,0,0,1,0,0,0        
0,0,9,321,58,0,8,2,0,0,0,1,0,0          
0,69,59,100,70,0,6,1,1,0,0,0,6,1        
1,2,11,285,42,0,6,1,0,1,0,0,0,0         
0,35,13,417,58,0,6,1,0,0,1,0,0,0        
0,0,13,284,44,0,6,1,0,0,0,1,0,0         
0,69,59,101,70,0,20,1,1,0,0,0,20,1      
1,5,17,300,50,0,20,1,0,1,0,0,0,0        
0,35,25,420,70,0,20,1,0,0,1,0,0,0       
0,0,13,297,45,0,20,1,0,0,0,1,0,0        
0,69,64,90,73,0,45,1,1,0,0,0,45,1       
1,15,32,325,67,0,45,1,0,1,0,0,0,0       
0,35,29,405,73,0,45,1,0,0,1,0,0,0       
0,0,18,327,54,0,45,1,0,0,0,1,0,0        
0,64,59,73,70,0,70,2,1,0,0,0,70,2       
1,45,29,290,73,0,70,2,0,1,0,0,0,0       
0,53,26,395,86,0,70,2,0,0,1,0,0,0       
0,0,9,314,57,0,70,2,0,0,0,1,0,0         
0,69,62,66,70,0,4,1,1,0,0,0,4,1         
1,10,31,295,63,0,4,1,0,1,0,0,0,0        
0,35,19,397,62,0,4,1,0,0,1,0,0,0        
0,0,17,307,50,0,4,1,0,0,0,1,0,0         
0,69,60,132,75,0,40,1,1,0,0,0,40,1      
1,15,15,330,50,0,40,1,0,1,0,0,0,0       
0,35,26,373,67,0,40,1,0,0,1,0,0,0       
0,0,12,309,46,0,40,1,0,0,0,1,0,0        
0,69,60,117,73,0,35,1,1,0,0,0,35,1      
1,10,23,325,58,0,35,1,0,1,0,0,0,0       
0,35,25,425,71,0,35,1,0,0,1,0,0,0       
0,0,17,307,50,0,35,1,0,0,0,1,0,0        
0,64,62,184,90,0,40,2,1,0,0,0,40,2      
1,45,24,360,79,0,40,2,0,1,0,0,0,0       
0,53,28,464,98,0,40,2,0,0,1,0,0,0       
0,0,11,427,76,0,40,2,0,0,0,1,0,0        
0,64,50,67,60,0,4,3,1,0,0,0,4,3         
1,30,31,265,71,0,4,3,0,1,0,0,0,0        
0,53,14,393,73,0,4,3,0,0,1,0,0,0        
0,0,6,308,53,0,4,3,0,0,0,1,0,0          
0,64,48,154,71,0,15,4,1,0,0,0,15,4      
1,55,25,360,80,0,15,4,0,1,0,0,0,0       
0,53,14,462,84,0,15,4,0,0,1,0,0,0       
0,0,4,351,57,0,15,4,0,0,0,1,0,0         
1,30,147,100,158,1,26,1,1,0,0,0,26,1    
0,34,96,678,169,1,26,1,0,1,0,0,0,0      
0,35,57,672,130,1,26,1,0,0,1,0,0,0      
0,0,28,629,96,1,26,1,0,0,0,1,0,0        
1,75,125,110,137,1,26,1,1,0,0,0,26,1    
0,34,70,596,135,1,26,1,0,1,0,0,0,0      
0,35,31,590,95,1,26,1,0,0,1,0,0,0       
0,0,24,577,87,1,26,1,0,0,0,1,0,0        
1,40,152,95,162,1,70,1,1,0,0,0,70,1     
0,34,73,600,138,1,70,1,0,1,0,0,0,0      
0,35,34,594,98,1,70,1,0,0,1,0,0,0       
0,0,24,587,88,1,70,1,0,0,0,1,0,0        
1,30,116,180,136,1,70,1,1,0,0,0,70,1    
0,34,71,657,142,1,70,1,0,1,0,0,0,0      
0,35,32,651,102,1,70,1,0,0,1,0,0,0      
0,0,29,629,97,1,70,1,0,0,0,1,0,0        
1,40,100,105,116,1,45,2,1,0,0,0,45,2    
0,44,70,622,165,1,45,2,0,1,0,0,0,0      
0,53,31,616,125,1,45,2,0,0,1,0,0,0      
0,0,17,577,105,1,45,2,0,0,0,1,0,0       
1,45,105,115,122,1,8,2,1,0,0,0,8,2      
0,44,35,622,130,1,8,2,0,1,0,0,0,0       
0,53,31,616,125,1,8,2,0,0,1,0,0,0       
0,0,12,577,100,1,8,2,0,0,0,1,0,0        
1,20,106,190,127,1,70,1,1,0,0,0,70,1    
0,34,72,659,143,1,70,1,0,1,0,0,0,0      
0,35,33,653,104,1,70,1,0,0,1,0,0,0      
0,0,44,592,108,1,70,1,0,0,0,1,0,0       
1,60,90,100,105,1,26,2,1,0,0,0,26,2     
0,44,69,596,160,1,26,2,0,1,0,0,0,0      
0,53,30,590,120,1,26,2,0,0,1,0,0,0      
0,0,13,577,101,1,26,2,0,0,0,1,0,0       
1,40,48,115,60,1,50,1,1,0,0,0,50,1      
0,34,31,365,70,1,50,1,0,1,0,0,0,0       
0,35,25,410,69,1,50,1,0,0,1,0,0,0       
0,0,16,308,49,1,50,1,0,0,0,1,0,0        
1,50,69,85,82,1,10,3,1,0,0,0,10,3       
0,44,16,344,68,1,10,3,0,1,0,0,0,0       
0,53,13,389,72,1,10,3,0,0,1,0,0,0       
0,0,4,315,52,1,10,3,0,0,0,1,0,0         
1,75,99,135,114,1,30,1,1,0,0,0,30,1     
0,34,96,678,169,1,30,1,0,1,0,0,0,0      
0,35,57,672,130,1,30,1,0,0,1,0,0,0      
0,0,29,629,97,1,30,1,0,0,0,1,0,0        
1,90,64,155,88,1,60,2,1,0,0,0,60,2      
0,44,74,678,177,1,60,2,0,1,0,0,0,0      
0,53,35,672,137,1,60,2,0,0,1,0,0,0      
0,0,20,629,115,1,60,2,0,0,0,1,0,0       
1,85,105,85,118,1,30,4,1,0,0,0,30,4     
0,44,56,665,156,1,30,4,0,1,0,0,0,0      
0,53,35,659,135,1,30,4,0,0,1,0,0,0      
0,0,8,587,97,1,30,4,0,0,0,1,0,0         
0,69,60,123,73,0,30,1,1,0,0,0,30,1      
1,15,24,365,64,0,30,1,0,1,0,0,0,0       
0,35,25,430,71,0,30,1,0,0,1,0,0,0       
0,0,13,332,49,0,30,1,0,0,0,1,0,0        
0,64,58,90,72,0,50,2,1,0,0,0,50,2       
1,30,22,340,74,0,50,2,0,1,0,0,0,0       
0,53,25,417,88,0,50,2,0,0,1,0,0,0       
0,0,9,334,60,0,50,2,0,0,0,1,0,0         
0,64,45,73,56,0,6,4,1,0,0,0,6,4         
1,15,22,290,66,0,6,4,0,1,0,0,0,0        
0,53,13,395,73,0,6,4,0,0,1,0,0,0        
0,0,5,314,53,0,6,4,0,0,0,1,0,0          
0,69,108,170,126,0,30,1,1,0,0,0,30,1    
1,30,31,875,126,0,30,1,0,1,0,0,0,0      
0,35,44,887,140,0,30,1,0,0,1,0,0,0      
0,0,50,884,146,0,30,1,0,0,0,1,0,0       
0,69,110,249,137,0,12,1,1,0,0,0,12,1    
1,45,22,890,119,0,12,1,0,1,0,0,0,0      
0,35,47,955,151,0,12,1,0,0,1,0,0,0      
0,0,38,990,146,0,12,1,0,0,0,1,0,0       
0,64,115,138,136,0,36,2,1,0,0,0,36,2    
1,10,44,830,170,0,36,2,0,1,0,0,0,0      
0,53,50,869,182,0,36,2,0,0,1,0,0,0      
0,0,18,862,149,0,36,2,0,0,0,1,0,0       
0,69,117,147,133,0,30,1,1,0,0,0,30,1    
1,40,59,790,145,0,30,1,0,1,0,0,0,0      
0,35,48,885,144,0,30,1,0,0,1,0,0,0      
0,0,38,883,134,0,30,1,0,0,0,1,0,0       
0,64,88,119,106,0,35,3,1,0,0,0,35,3     
1,50,78,775,196,0,35,3,0,1,0,0,0,0      
0,53,43,840,170,0,35,3,0,0,1,0,0,0      
0,0,16,855,146,0,35,3,0,0,0,1,0,0       
0,69,105,196,126,0,6,1,1,0,0,0,6,1      
1,40,43,895,140,0,6,1,0,1,0,0,0,0       
0,35,44,919,144,0,6,1,0,0,1,0,0,0       
0,0,50,935,152,0,6,1,0,0,0,1,0,0        
0,64,120,333,170,0,6,1,1,0,0,0,6,1      
1,25,28,870,160,0,6,1,0,1,0,0,0,0       
0,53,52,890,187,0,6,1,0,0,1,0,0,0       
0,0,38,921,178,0,6,1,0,0,0,1,0,0        
0,64,103,146,125,0,8,2,1,0,0,0,8,2      
1,25,36,875,169,0,8,2,0,1,0,0,0,0       
0,53,43,943,186,0,8,2,0,0,1,0,0,0       
0,0,19,887,154,0,8,2,0,0,0,1,0,0        
0,69,103,138,118,0,6,1,1,0,0,0,6,1      
1,5,22,800,109,0,6,1,0,1,0,0,0,0        
0,35,43,821,132,0,6,1,0,0,1,0,0,0       
0,0,36,846,128,0,6,1,0,0,0,1,0,0        
0,64,116,164,141,0,12,2,1,0,0,0,12,2    
1,75,89,685,193,0,12,2,0,1,0,0,0,0      
0,53,47,875,180,0,12,2,0,0,1,0,0,0      
0,0,19,874,152,0,12,2,0,0,0,1,0,0       
0,69,103,129,117,0,30,1,1,0,0,0,30,1    
0,34,88,925,189,0,30,1,0,1,0,0,0,0      
1,10,30,790,116,0,30,1,0,0,1,0,0,0      
0,0,50,887,146,0,30,1,0,0,0,1,0,0       
0,64,109,230,144,0,35,2,1,0,0,0,35,2    
0,44,101,1104,269,0,35,2,0,1,0,0,0,0    
0,53,56,1094,222,0,35,2,0,0,1,0,0,0     
1,0,26,960,172,0,35,2,0,0,0,1,0,0       
0,69,108,177,127,0,35,1,1,0,0,0,35,1    
0,34,92,907,191,0,35,1,0,1,0,0,0,0      
1,45,39,850,131,0,35,1,0,0,1,0,0,0      
0,0,52,865,146,0,35,1,0,0,0,1,0,0       
0,64,92,161,117,0,60,3,1,0,0,0,60,3     
1,40,73,792,193,0,60,3,0,1,0,0,0,0      
0,53,46,920,186,0,60,3,0,0,1,0,0,0      
0,0,16,887,151,0,60,3,0,0,0,1,0,0       
0,64,119,161,143,0,60,2,1,0,0,0,60,2    
1,45,75,765,191,0,60,2,0,1,0,0,0,0      
0,53,51,869,182,0,60,2,0,0,1,0,0,0      
0,0,19,898,155,0,60,2,0,0,0,1,0,0       
0,64,109,190,138,0,12,2,1,0,0,0,12,2    
1,40,24,399,85,0,12,2,0,1,0,0,0,0       
0,53,46,951,190,0,12,2,0,0,1,0,0,0      
0,0,27,897,163,0,12,2,0,0,0,1,0,0       
0,69,111,108,122,0,10,1,1,0,0,0,10,1    
1,30,30,760,113,0,10,1,0,1,0,0,0,0      
0,35,50,867,144,0,10,1,0,0,1,0,0,0      
0,0,47,844,139,0,10,1,0,0,0,1,0,0       
0,69,104,246,131,0,10,1,1,0,0,0,10,1    
1,25,23,830,113,0,10,1,0,1,0,0,0,0      
0,35,45,1068,161,0,10,1,0,0,1,0,0,0     
0,0,41,978,147,0,10,1,0,0,0,1,0,0       
0,69,104,200,126,0,15,1,1,0,0,0,15,1    
1,75,23,835,114,0,15,1,0,1,0,0,0,0      
0,35,43,846,135,0,15,1,0,0,1,0,0,0      
0,0,40,927,141,0,15,1,0,0,0,1,0,0       
0,64,124,160,148,0,10,2,1,0,0,0,10,2    
1,30,82,850,211,0,10,2,0,1,0,0,0,0      
0,53,54,893,189,0,10,2,0,0,1,0,0,0      
0,0,19,886,153,0,10,2,0,0,0,1,0,0       
0,64,103,145,125,0,8,1,1,0,0,0,8,1      
1,50,73,840,200,0,8,1,0,1,0,0,0,0       
0,53,43,892,178,0,8,1,0,0,1,0,0,0       
0,0,50,894,186,0,8,1,0,0,0,1,0,0        
0,69,103,125,116,0,30,1,1,0,0,0,30,1    
1,30,80,800,167,0,30,1,0,1,0,0,0,0      
0,35,42,844,134,0,30,1,0,0,1,0,0,0      
0,0,38,861,132,0,30,1,0,0,0,1,0,0       
0,64,113,163,137,0,20,2,1,0,0,0,20,2    
0,44,51,948,195,0,20,2,0,1,0,0,0,0      
0,53,49,938,191,0,20,2,0,0,1,0,0,0      
1,0,26,720,135,0,20,2,0,0,0,1,0,0       
0,64,76,147,98,0,70,5,1,0,0,0,70,5      
0,44,63,918,203,0,70,5,0,1,0,0,0,0      
0,53,44,908,182,0,70,5,0,0,1,0,0,0      
1,0,10,1440,228,0,70,5,0,0,0,1,0,0      
0,69,108,163,125,0,20,1,1,0,0,0,20,1    
0,34,89,905,187,0,20,1,0,1,0,0,0,0      
1,30,43,785,128,0,20,1,0,0,1,0,0,0      
0,0,35,879,130,0,20,1,0,0,0,1,0,0       
0,69,127,193,148,0,60,1,1,0,0,0,60,1    
0,34,109,888,205,0,60,1,0,1,0,0,0,0     
1,60,52,1025,163,0,60,1,0,0,1,0,0,0     
0,0,50,892,147,0,60,1,0,0,0,1,0,0       
0,64,44,100,59,0,70,4,1,0,0,0,70,4      
0,44,25,351,78,0,70,4,0,1,0,0,0,0       
0,53,20,361,75,0,70,4,0,0,1,0,0,0       
1,0,5,180,32,0,70,4,0,0,0,1,0,0         
0,69,59,98,69,0,8,1,1,0,0,0,8,1         
1,1,11,320,46,0,8,1,0,1,0,0,0,0         
0,35,13,413,57,0,8,1,0,0,1,0,0,0        
0,0,17,332,53,0,8,1,0,0,0,1,0,0         
0,69,59,114,72,0,30,1,1,0,0,0,30,1      
1,25,60,337,97,0,30,1,0,1,0,0,0,0       
0,35,25,423,71,0,30,1,0,0,1,0,0,0       
0,0,8,335,44,0,30,1,0,0,0,1,0,0         
1,25,65,140,86,1,70,2,1,0,0,0,70,2      
0,44,69,596,160,1,70,2,0,1,0,0,0,0      
0,53,30,590,120,1,70,2,0,0,1,0,0,0      
0,0,16,577,104,1,70,2,0,0,0,1,0,0       
0,69,60,67,67,0,60,1,1,0,0,0,60,1       
1,10,37,285,68,0,60,1,0,1,0,0,0,0       
0,35,28,400,72,0,60,1,0,0,1,0,0,0       
0,0,14,320,49,0,60,1,0,0,0,1,0,0        
0,64,59,118,77,0,20,2,1,0,0,0,20,2      
0,44,17,349,70,0,20,2,0,1,0,0,0,0       
0,53,14,359,68,0,20,2,0,0,1,0,0,0       
1,0,5,240,41,0,20,2,0,0,0,1,0,0         
0,69,61,72,69,0,15,1,1,0,0,0,15,1       
1,10,18,305,51,0,15,1,0,1,0,0,0,0       
0,35,27,396,70,0,15,1,0,0,1,0,0,0       
0,0,12,332,48,0,15,1,0,0,0,1,0,0        
0,64,59,118,77,0,30,2,1,0,0,0,30,2      
0,44,32,349,85,0,30,2,0,1,0,0,0,0       
0,53,26,359,80,0,30,2,0,0,1,0,0,0       
1,0,6,265,46,0,30,2,0,0,0,1,0,0         
0,64,60,74,71,0,26,2,1,0,0,0,26,2       
1,20,40,262,80,0,26,2,0,1,0,0,0,0       
0,53,26,389,85,0,26,2,0,0,1,0,0,0       
0,0,10,315,58,0,26,2,0,0,0,1,0,0        
0,64,44,93,58,0,35,4,1,0,0,0,35,4       
1,20,30,291,74,0,35,4,0,1,0,0,0,0       
0,53,19,346,72,0,35,4,0,0,1,0,0,0       
0,0,4,316,52,0,35,4,0,0,0,1,0,0         
0,69,58,124,71,0,12,1,1,0,0,0,12,1      
1,10,30,340,67,0,12,1,0,1,0,0,0,0       
0,35,25,427,71,0,12,1,0,0,1,0,0,0       
0,0,14,364,54,0,12,1,0,0,0,1,0,0        
0,64,84,108,100,0,70,2,1,0,0,0,70,2     
0,44,70,596,160,0,70,2,0,1,0,0,0,0      
0,53,31,590,120,0,70,2,0,0,1,0,0,0      
1,0,15,360,70,0,70,2,0,0,0,1,0,0        
1,30,145,90,158,1,50,1,1,0,0,0,50,1     
0,44,31,343,83,1,50,1,0,1,0,0,0,0       
0,53,25,388,84,1,50,1,0,0,1,0,0,0       
0,0,13,296,58,1,50,1,0,0,0,1,0,0        
1,45,121,100,136,1,40,2,1,0,0,0,40,2    
0,44,92,926,233,1,40,2,0,1,0,0,0,0      
0,53,47,916,186,1,40,2,0,0,1,0,0,0      
0,0,20,885,154,1,40,2,0,0,0,1,0,0       
1,30,84,180,103,1,70,1,1,0,0,0,70,1     
0,34,72,707,149,1,70,1,0,1,0,0,0,0      
0,35,33,701,109,1,70,1,0,0,1,0,0,0      
0,0,26,626,94,1,70,1,0,0,0,1,0,0        
0,69,61,146,77,0,10,1,1,0,0,0,10,1      
0,34,17,409,61,0,10,1,0,1,0,0,0,0       
1,5,31,300,64,0,10,1,0,0,1,0,0,0        
0,0,13,350,51,0,10,1,0,0,0,1,0,0        
1,45,180,160,197,1,26,1,1,0,0,0,26,1    
0,34,89,985,196,1,26,1,0,1,0,0,0,0      
0,35,44,975,150,1,26,1,0,0,1,0,0,0      
0,0,39,896,136,1,26,1,0,0,0,1,0,0       
0,64,94,231,129,0,50,3,1,0,0,0,50,3     
0,44,79,949,223,0,50,3,0,1,0,0,0,0      
1,40,32,1110,201,0,50,3,0,0,1,0,0,0     
0,0,13,942,156,0,50,3,0,0,0,1,0,0       
0,64,92,203,123,0,70,3,1,0,0,0,70,3     
0,44,77,961,223,0,70,3,0,1,0,0,0,0      
0,53,46,951,190,0,70,3,0,0,1,0,0,0      
1,0,17,780,135,0,70,3,0,0,0,1,0,0       
0,69,59,111,71,0,30,1,1,0,0,0,30,1      
0,34,31,376,72,0,30,1,0,1,0,0,0,0       
1,15,25,360,64,0,30,1,0,0,1,0,0,0       
0,0,23,351,61,0,30,1,0,0,0,1,0,0        
0,64,75,153,99,0,50,5,1,0,0,0,50,5      
0,44,64,900,201,0,50,5,0,1,0,0,0,0      
0,53,45,890,180,0,50,5,0,0,1,0,0,0      
1,0,13,720,122,0,50,5,0,0,0,1,0,0       
0,69,58,99,68,0,20,1,1,0,0,0,20,1       
0,34,16,366,55,0,20,1,0,1,0,0,0,0       
0,35,13,411,57,0,20,1,0,0,1,0,0,0       
1,0,13,300,46,0,20,1,0,0,0,1,0,0        
0,64,110,153,133,0,32,2,1,0,0,0,32,2    
0,44,91,874,223,0,32,2,0,1,0,0,0,0      
0,53,46,864,177,0,32,2,0,0,1,0,0,0      
1,0,21,960,167,0,32,2,0,0,0,1,0,0       
0,64,108,187,136,0,27,2,1,0,0,0,27,2    
0,44,90,932,231,0,27,2,0,1,0,0,0,0      
0,53,45,922,185,0,27,2,0,0,1,0,0,0      
